站點名稱,緯度,經度,圖片,站點位置
"香山天后宮","24.76966","120.91399","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/face9ced-7cd3-4810-8c90-7ca7bf59f2da.jpg","中華路五段420巷246號旁"
"南港賞鳥區","24.74289","120.89443","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/02debb6a-674b-4622-8e66-6ffbb95eab10.jpg","南港街52巷100之1號(對側)"
"新科國民運動中心(新科國中)","24.77937","121.02453","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/0af6680d-ff6f-4ba0-8e54-2511ba8c3b6c.jpg","光復路一段89巷90號旁"
"建功高中","24.79702","121.00077","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/2f6d0d02-fb7f-4ed0-9f95-b15b14f81c9a.jpg","建功路60號(對側人行道)"
"世界高中(介壽路)","24.78121","121.02037","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/fd394ecf-12a8-4551-b877-f9890afd7f27.jpg","介壽路16號旁"
"兒童探索館","24.80516","120.99283","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/a1dc2a87-08b9-4cc2-ae64-300e0995948e.jpg","公道五路二段469號前"
"台大新竹分院","24.81601","120.97953","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/3461a0a2-f804-4e01-96b7-72e5f5f7b9ca.jpg","鐵道路二段53號(對側人行道)"
"賞蟹步道","24.78398","120.91506","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/f8ec7d31-b3e6-4ee4-8920-e2715f9085d2.jpg","中華路五段318號"
"育賢國中","24.79048","120.96508","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/c7e83c35-2bdc-4876-b515-eece82195ab1.jpg","南大路750之1號(對側人行道)"
"民富國小","24.80753","120.95848","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/de185f90-e5b0-4a6c-bb00-1c1aa7081dc0.jpg","民富街178巷/民富街178巷23弄口"
"慈雲路停車場","24.79007","121.01066","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/761d4121-b8c9-491f-96a3-123baa5183b6.jpg","龍山西路38號(對側人行道)"
"竹光國中(竹光國民運動中心)","24.80881","120.95461","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/df61ccba-e1d2-4caa-9bad-2d81a5233537.jpg","竹光路352號(對側人行道)"
